,Close,Compound,Negative,Neutral,Positive,Open,High,Low,Volume
2016-08-11,502.288818,-0.9999,0.159,0.75,0.091,496.27084400000007,506.622711,495.10687300000006,6539201.0
2016-08-12,513.036926,-0.9999,0.138,0.779,0.083,503.725189,516.553589,503.725189,7552641.0
2016-08-16,507.638092,-0.9511,0.117,0.764,0.119,513.259827,517.49469,502.982239,6169134.0
2016-08-17,501.892548,-0.9999,0.147,0.759,0.094,507.241852,509.56979400000006,498.871185,7147050.0
2016-08-18,504.24527,-0.999,0.142,0.734,0.125,503.229889,507.01898200000005,503.229889,3576481.0
2016-08-19,502.685059,-0.9989,0.126,0.759,0.115,504.22049,506.201721,498.821655,3774054.0
2016-08-22,501.174377,-0.9993,0.131,0.76,0.109,501.248657,505.0625,498.871185,3084774.0
2016-08-23,500.480927,-0.9999,0.155,0.768,0.077,501.248657,502.734589,497.781525,3378378.0
2016-08-24,505.458771,-0.9999,0.138,0.779,0.083,501.100067,506.176941,500.75335700000005,4024092.0
2016-08-25,501.595367,-0.9999,0.146,0.764,0.089,505.805481,509.668854,499.762756,6904382.0
2016-08-26,509.124023,-0.9753,0.102,0.798,0.099,504.170959,510.560394,502.53646900000007,4448703.0
2016-08-29,523.760254,-0.9999,0.15,0.755,0.095,508.802063,524.899475,508.232452,7473162.0
2016-08-30,528.1932370000002,-0.9998,0.124,0.794,0.082,526.013916,529.2333980000002,521.556152,8385786.0
2016-08-31,525.023315,-0.9997,0.124,0.782,0.094,527.450317,531.957581,518.584351,10750870.0
2016-09-01,509.767914,-0.9996,0.128,0.773,0.099,521.556152,531.33844,508.034332,19669605.0
2016-09-02,501.917328,-0.9994,0.114,0.791,0.095,510.708984,511.427185,496.444214,12979505.0
2016-09-06,505.16156,-0.9989,0.109,0.8,0.091,505.16156,507.687622,502.734589,5312062.0
2016-09-07,504.04715,-0.9997,0.129,0.778,0.093,506.201721,508.703003,501.768738,5966010.0
2016-09-08,511.848175,-0.9998,0.125,0.787,0.087,506.721771,513.1112059999998,505.31015,5633288.0
2016-09-09,517.37085,-0.9991,0.118,0.78,0.102,512.6406860000002,520.0207519999999,510.164154,7047053.0
2016-09-12,518.33667,-0.9997,0.128,0.779,0.092,510.362274,523.042114,509.743134,15545572.0
2016-09-14,517.4699099999998,-0.9998,0.142,0.76,0.098,519.079651,524.528015,515.562988,8586131.0
2016-09-15,527.499817,-0.9998,0.131,0.773,0.095,518.584351,530.075439,518.584351,14477715.0
2016-09-16,532.725281,-0.9999,0.149,0.76,0.091,528.490417,541.789368,524.5775150000002,18148264.0
2016-09-19,536.118164,-0.9994,0.118,0.792,0.09,531.23938,538.891846,530.47168,7696922.0
2016-09-20,532.056641,-0.9999,0.136,0.791,0.073,536.910645,537.282104,529.505798,5321678.0
2016-09-21,531.09082,-0.9998,0.137,0.772,0.09,531.957581,537.3563839999998,529.481079,5050374.0
2016-09-22,539.3623660000002,-0.9997,0.14,0.753,0.107,536.415344,542.755249,534.434082,8658390.0
2016-09-23,546.222351,-0.9999,0.156,0.766,0.078,539.387146,549.516113,539.387146,14346160.0
2016-09-26,548.401672,-0.9998,0.14,0.76,0.1,546.5195309999998,559.4717410000002,544.959351,17635483.0
2016-09-27,550.036194,-0.9998,0.126,0.786,0.088,553.255676,557.6886599999998,548.1044919999998,8941345.0
2016-09-28,540.2044070000002,-0.9999,0.135,0.783,0.082,548.748413,548.7979740000002,538.049805,11454533.0
2016-09-29,531.18988,-0.9999,0.137,0.777,0.086,542.359009,550.160034,528.688538,9811623.0
2016-09-30,536.762024,-0.9996,0.133,0.762,0.105,528.985718,542.136108,528.143738,5168744.0
2016-10-03,540.229187,-0.9994,0.131,0.758,0.112,538.3965450000002,548.773193,533.072021,8364763.0
2016-10-04,543.027649,-0.9999,0.145,0.758,0.097,541.3931269999998,548.946533,540.8730469999998,6051915.0
2016-10-05,539.585266,-0.9997,0.127,0.779,0.094,546.816711,548.054993,537.802185,4979551.0
2016-10-06,550.184814,-0.9999,0.144,0.763,0.093,540.8730469999998,557.83728,540.8730469999998,9742744.0
2016-10-07,549.293274,-0.9999,0.137,0.778,0.085,551.769775,556.252258,548.054993,7051893.0
2016-10-10,543.027649,-0.9981,0.109,0.792,0.099,551.769775,555.7322389999998,541.863647,5332013.0
2016-10-13,523.611694,-0.9999,0.162,0.748,0.09,539.387146,539.411926,521.060852,10124402.0
2016-10-14,533.765442,-0.9999,0.139,0.777,0.084,526.509216,535.9200440000002,525.8405759999998,7045099.0
2016-10-17,525.345276,-0.9998,0.14,0.767,0.093,534.929382,535.3256230000002,524.404175,4535058.0
2016-10-18,535.474243,-0.9999,0.153,0.765,0.083,527.9951169999998,536.291504,526.038696,5110251.0
2016-10-19,538.569885,-0.9999,0.162,0.753,0.085,537.133484,542.210388,535.622803,7879298.0
2016-10-20,538.668945,-0.9998,0.138,0.77,0.093,541.838928,543.8449099999998,536.9353639999998,4672920.0
2016-10-21,527.103577,-0.9999,0.137,0.779,0.083,543.349609,543.349609,524.230835,20125461.0
2016-10-24,526.657837,-0.9994,0.114,0.796,0.09,529.976379,531.957581,525.345276,4851755.0
2016-10-25,525.444336,-0.9999,0.16,0.755,0.086,527.499817,527.623657,522.1505129999998,3534611.0
2016-10-26,522.076233,-0.9999,0.14,0.772,0.088,523.066833,524.750916,521.110413,5051543.0
2016-10-27,519.426331,-0.9999,0.151,0.75,0.099,520.6151120000002,522.0019530000002,516.80127,5926800.0
2016-10-28,522.522034,-0.9998,0.134,0.771,0.095,520.070251,524.032715,516.9993900000002,3751056.0
2016-11-01,520.5655519999998,-0.9996,0.139,0.748,0.114,520.714172,523.017334,518.782471,4718327.0
2016-11-02,507.068512,-0.9999,0.15,0.75,0.1,515.612488,516.528809,505.706421,3248957.0
2016-11-03,507.167572,-0.9999,0.141,0.782,0.077,507.118042,512.516846,505.508301,3374427.0
2016-11-04,498.053955,-1.0,0.172,0.743,0.085,505.33493,508.628723,495.304993,5323812.0
2016-11-07,495.874603,-0.9999,0.162,0.744,0.094,502.239258,503.502289,494.83447300000006,4387036.0
2016-11-08,497.038574,-1.0,0.171,0.75,0.079,498.128235,498.128235,494.462982,6198899.0
2016-11-09,497.583405,-0.9999,0.135,0.792,0.074,470.539764,499.762756,460.633667,9986923.0
2016-11-10,500.456177,-0.9999,0.147,0.76,0.093,504.51767,509.64407300000005,498.772125,4506126.0
2016-11-11,496.171783,-0.9999,0.142,0.775,0.083,494.240112,503.972839,492.878021,6818812.0
2016-11-15,488.073547,-0.9994,0.127,0.766,0.107,493.571442,495.304993,485.176025,6685965.0
2016-11-16,488.643158,-0.9999,0.145,0.781,0.073,492.828491,493.720032,485.745605,7638174.0
2016-11-17,484.284454,-0.9999,0.141,0.775,0.085,488.370728,494.388702,482.625183,5827994.0
2016-11-18,489.11367800000005,-0.9998,0.136,0.763,0.101,487.875427,491.68927,486.389526,8382568.0
2016-11-21,491.09491,-0.9994,0.142,0.738,0.119,489.138458,492.110291,486.983887,6106766.0
2016-11-22,496.023193,-0.9999,0.14,0.775,0.085,494.16580199999987,499.168396,491.98645,8143790.0
2016-11-23,499.762756,-0.9999,0.149,0.766,0.085,497.781525,500.505707,495.082123,6049298.0
2016-11-24,489.03939800000006,-0.9997,0.125,0.782,0.093,498.053955,498.053955,486.48858600000005,8728712.0
2016-11-25,492.18457,-0.9999,0.149,0.779,0.072,490.351959,493.274261,487.553467,4824964.0
2016-11-28,488.692688,-0.999,0.129,0.758,0.112,491.83786,495.60217300000005,487.429657,3836345.0
2016-11-29,494.16580199999987,-0.9999,0.144,0.761,0.095,489.856659,497.434814,489.386108,4562055.0
2016-11-30,490.376709,-0.9999,0.154,0.767,0.08,495.280243,495.280243,488.692688,12735595.0
2016-12-01,494.190552,-0.9998,0.138,0.772,0.091,495.304993,502.734589,492.828491,5827748.0
2016-12-02,492.704651,-0.9998,0.142,0.755,0.103,493.274261,497.781525,491.2435,5760178.0
2016-12-05,492.258881,-0.9959,0.13,0.747,0.123,492.828491,495.156403,488.618378,1840098.0
2016-12-06,497.880585,-0.9998,0.13,0.782,0.088,493.323792,498.549255,492.630371,3104218.0
2016-12-07,494.884003,-0.9997,0.117,0.802,0.081,497.286224,499.069336,493.497131,2275593.0
2016-12-08,505.23587,-0.9997,0.132,0.766,0.101,497.806305,506.102661,497.459595,4038380.0
2016-12-09,509.64407300000005,-0.9999,0.142,0.771,0.087,506.201721,511.080475,505.35968,3802370.0
2016-12-12,508.777313,-0.9998,0.138,0.76,0.102,505.458771,515.959229,505.458771,4164504.0
